track__artists__external_urls__spotify,track__artists__href,track__artists__id,track__artists__name,track__artists__type,track__artists__uri
https://open.spotify.com/artist/3fYr24qYhJejxewFrckFE4,https://api.spotify.com/v1/artists/3fYr24qYhJejxewFrckFE4,3fYr24qYhJejxewFrckFE4,London Metropolitan Orchestra,artist,spotify:artist:3fYr24qYhJejxewFrckFE4
https://open.spotify.com/artist/2VZNmg4vCnew4Pavo8zDdW,https://api.spotify.com/v1/artists/2VZNmg4vCnew4Pavo8zDdW,2VZNmg4vCnew4Pavo8zDdW,Max Richter,artist,spotify:artist:2VZNmg4vCnew4Pavo8zDdW
https://open.spotify.com/artist/557AjoqV9wVpa8vO2k4wuJ,https://api.spotify.com/v1/artists/557AjoqV9wVpa8vO2k4wuJ,557AjoqV9wVpa8vO2k4wuJ,Louisa Fuller,artist,spotify:artist:557AjoqV9wVpa8vO2k4wuJ
https://open.spotify.com/artist/4d6eKLLJbe2ZeiL07Du7vB,https://api.spotify.com/v1/artists/4d6eKLLJbe2ZeiL07Du7vB,4d6eKLLJbe2ZeiL07Du7vB,Natalia Bonner,artist,spotify:artist:4d6eKLLJbe2ZeiL07Du7vB
https://open.spotify.com/artist/6s8AUvcmf2fp0Kh7PctPnd,https://api.spotify.com/v1/artists/6s8AUvcmf2fp0Kh7PctPnd,6s8AUvcmf2fp0Kh7PctPnd,John Metcalfe,artist,spotify:artist:6s8AUvcmf2fp0Kh7PctPnd
https://open.spotify.com/artist/6qzi6mPoJU4cBlO76U1Il1,https://api.spotify.com/v1/artists/6qzi6mPoJU4cBlO76U1Il1,6qzi6mPoJU4cBlO76U1Il1,Philip Sheppard,artist,spotify:artist:6qzi6mPoJU4cBlO76U1Il1
https://open.spotify.com/artist/33TpuAICGC2gekoZZDDZhE,https://api.spotify.com/v1/artists/33TpuAICGC2gekoZZDDZhE,33TpuAICGC2gekoZZDDZhE,Chris Worsey,artist,spotify:artist:33TpuAICGC2gekoZZDDZhE
https://open.spotify.com/artist/2VZNmg4vCnew4Pavo8zDdW,https://api.spotify.com/v1/artists/2VZNmg4vCnew4Pavo8zDdW,2VZNmg4vCnew4Pavo8zDdW,Max Richter,artist,spotify:artist:2VZNmg4vCnew4Pavo8zDdW
https://open.spotify.com/artist/0YC192cP3KPCRWx8zr8MfZ,https://api.spotify.com/v1/artists/0YC192cP3KPCRWx8zr8MfZ,0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer,artist,spotify:artist:0YC192cP3KPCRWx8zr8MfZ
https://open.spotify.com/artist/0YC192cP3KPCRWx8zr8MfZ,https://api.spotify.com/v1/artists/0YC192cP3KPCRWx8zr8MfZ,0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer,artist,spotify:artist:0YC192cP3KPCRWx8zr8MfZ
https://open.spotify.com/artist/4kLvhMAuCloLxoP1aVM7Lr,https://api.spotify.com/v1/artists/4kLvhMAuCloLxoP1aVM7Lr,4kLvhMAuCloLxoP1aVM7Lr,Michael Giacchino,artist,spotify:artist:4kLvhMAuCloLxoP1aVM7Lr
https://open.spotify.com/artist/11wRdbnoYqRddKBrpHt4Ue,https://api.spotify.com/v1/artists/11wRdbnoYqRddKBrpHt4Ue,11wRdbnoYqRddKBrpHt4Ue,Kasabian,artist,spotify:artist:11wRdbnoYqRddKBrpHt4Ue
https://open.spotify.com/artist/11wRdbnoYqRddKBrpHt4Ue,https://api.spotify.com/v1/artists/11wRdbnoYqRddKBrpHt4Ue,11wRdbnoYqRddKBrpHt4Ue,Kasabian,artist,spotify:artist:11wRdbnoYqRddKBrpHt4Ue
